2026-02-17 02:06:23 install passwd:arm64 <none> 1:4.13+dfsg1-4ubuntu3
2026-02-17 02:06:23 status half-installed passwd:arm64 1:4.13+dfsg1-4ubuntu3
2026-02-17 02:06:23 status unpacked passwd:arm64 1:4.13+dfsg1-4ubuntu3
2026-02-17 02:06:23 upgrade perl-base:arm64 5.38.2-3.2build2 5.38.2-3.2build2
2026-02-17 02:06:23 status half-configured perl-base:arm64 5.38.2-3.2build2
2026-02-17 02:06:23 status unpacked perl-base:arm64 5.38.2-3.2build2
2026-02-17 02:06:23 status half-installed perl-base:arm64 5.38.2-3.2build2
2026-02-17 02:06:23 status unpacked perl-base:arm64 5.38.2-3.2build2
2026-02-17 02:06:23 install procps:arm64 <none> 2:4.0.4-4ubuntu3
2026-02-17 02:06:23 status half-installed procps:arm64 2:4.0.4-4ubuntu3
2026-02-17 02:06:23 status unpacked procps:arm64 2:4.0.4-4ubuntu3
2026-02-17 02:06:23 install sed:arm64 <none> 4.9-2build1
2026-02-17 02:06:23 status half-installed sed:arm64 4.9-2build1
2026-02-17 02:06:23 status unpacked sed:arm64 4.9-2build1
2026-02-17 02:06:23 install sensible-utils:all <none> 0.0.22
2026-02-17 02:06:23 status half-installed sensible-utils:all 0.0.22
2026-02-17 02:06:23 status unpacked sensible-utils:all 0.0.22
2026-02-17 02:06:23 install sysvinit-utils:arm64 <none> 3.08-6ubuntu3
2026-02-17 02:06:23 status half-installed sysvinit-utils:arm64 3.08-6ubuntu3
2026-02-17 02:06:23 status unpacked sysvinit-utils:arm64 3.08-6ubuntu3
2026-02-17 02:06:23 install tar:arm64 <none> 1.35+dfsg-3build1
2026-02-17 02:06:23 status half-installed tar:arm64 1.35+dfsg-3build1
2026-02-17 02:06:23 status unpacked tar:arm64 1.35+dfsg-3build1
2026-02-17 02:06:23 install util-linux:arm64 <none> 2.39.3-9ubuntu6
2026-02-17 02:06:23 status half-installed util-linux:arm64 2.39.3-9ubuntu6
2026-02-17 02:06:23 status unpacked util-linux:arm64 2.39.3-9ubuntu6
2026-02-17 02:06:23 install zlib1g:arm64 <none> 1:1.3.dfsg-3.1ubuntu2
2026-02-17 02:06:23 status half-installed zlib1g:arm64 1:1.3.dfsg-3.1ubuntu2
2026-02-17 02:06:23 status unpacked zlib1g:arm64 1:1.3.dfsg-3.1ubuntu2
2026-02-17 02:06:23 startup packages configure
2026-02-17 02:06:23 configure gcc-14-base:arm64 14-20240412-0ubuntu1 <none>
2026-02-17 02:06:23 status unpacked gcc-14-base:arm64 14-20240412-0ubuntu1
2026-02-17 02:06:23 status half-configured gcc-14-base:arm64 14-20240412-0ubuntu1
2026-02-17 02:06:23 status installed gcc-14-base:arm64 14-20240412-0ubuntu1
2026-02-17 02:06:23 configure libaudit-common:all 1:3.1.2-2.1build1 <none>
2026-02-17 02:06:23 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2026-02-17 02:06:23 status half-configured libaudit-common:all 1:3.1.2-2.1build1
2026-02-17 02:06:23 status installed libaudit-common:all 1:3.1.2-2.1build1
2026-02-17 02:06:23 configure libsemanage-common:all 3.5-1build5 <none>
2026-02-17 02:06:23 status unpacked libsemanage-common:all 3.5-1build5
2026-02-17 02:06:23 status half-configured libsemanage-common:all 3.5-1build5
2026-02-17 02:06:23 status installed libsemanage-common:all 3.5-1build5
2026-02-17 02:06:23 configure debconf:all 1.5.86ubuntu1 <none>
2026-02-17 02:06:23 status unpacked debconf:all 1.5.86ubuntu1
2026-02-17 02:06:23 status half-configured debconf:all 1.5.86ubuntu1
2026-02-17 02:06:23 status installed debconf:all 1.5.86ubuntu1
